#NAME,peat_full_hg_T1,peat_full_mg_T2,peat_full_hg_T2,peat_full_hg_T3,peat_empty_mg1_C1,peat_empty_mg2_C1,peat_empty_mg_C2,peat_empty_hg_C2,peat_empty_mg_C3,peat_empty_mg1_C4,peat_empty_mg2_C4,peat_empty_hg_C4,peat_empty_mg_C5,peat_casts_casts_C1,peat_empty_casts_C3,peat_empty_mg_A1,peat_empty_hg_A1,peat_empty_mg_A3,peat_empty_hg_A3,peat_empty_mg_A5,peat_empty_hg_A5,peat_casts_casts_A1,peat_casts_casts_A2,peat_full_hg_F1,peat_full_mg1_F2,peat_full_mg2_F2,peat_full_hg_F2,peat_full_mg_F3,peat_full_hg_F3,peat_full_hg_F4,peat_1,peat_2,sludge_empty_gut_P1,sludge_empty_mg1_P1,sludge_empty_mg2_P1,sludge_empty_gut_P2,sludge_empty_mg_P2,sludge_empty_mg1_P3,sludge_empty_gut_P3,sludge_empty_mg2_P3,sludge_empty_gut_P4,sludge_empty_gut_P5,sludge_empty_mg1_P5,sludge_empty_mg2_P5,sludge_full_gut_S1,sludge_full_mg1_S1,sludge_full_gut_S2,sludge_full_mg_S2,sludge_full_gut_S3,sludge_full_mg_S3,sludge_full_gut_S4,sludge_full_mg_S4,sludge_full_gut_S5,sludge_full_mg_S5,sludge_full_mg2_S1,sludge_casts_casts_1,sludge_casts_casts_2,sludge_casts_casts_3,sludge_casts_casts_4,sludge_casts_casts_5,sludge_casts_casts_6,sludge_1,sludge_2
ASV1,8.20978147977978,8.82211383327585,7.52690862113931,6.5783200521666,7.3029591120696,6.58124137442359,5.8919465854761,9.57479701234223,9.94026232466538,8.97178003201564,9.12207656463217,5.78501508155889,11.6779664146184,0,0,0,0,6.10751982012583,0,0,7.76318468485311,0,1.66724934621216,8.3681975235844,10.9253477558282,12.6222824743629,10.8163048317386,0,0,8.02918636509396,0,0,9.14363609226355,10.2436308929297,11.8344039681573,8.89561000152048,9.9516851563469,4.7219648622206,0,9.09093407615732,0,0,0,5.65691077189822,1.37327537142384,-0.394406032934544,0,0,0,0,0,-1.12419668571657,5.67823181715882,0,0,0.0165439957087332,-1.15449452569683,0,0,0,0,0,0
ASV2,5.19451472312647,2.70990432968983,0,4.31430053530724,11.2429286742919,3.0432763532396,11.0357996780457,6.31796394567675,7.84380926392648,9.14552963910108,7.39632575796189,7.2749810683443,8.34677043963064,0,0,0,0,6.0878910133769,3.87368267081909,0,5.87293009083646,0,0,5.90720539095949,7.61155135954332,10.4847371690916,8.34878820242611,0,0,7.13923991055888,0,0,12.4400073238276,13.1012513494971,11.3753061135564,10.9856951307528,13.004712519986,5.92478174522029,10.4366999665968,9.87061971789661,4.34249035379764,0,0,6.03542239515195,2.25298113770613,0.190556467786612,0,0,0,0,0,-0.124196685716571,9.97401189453388,-1.58270170987632,0,-0.0614585162925399,0,0,0,1.21411103133779,-0.421997559031774,0,0
ASV3,0,0,0,0,0,0,0,0,10.3801332455356,11.9945265548614,10.0376262428329,11.7932789089476,11.3164297608217,1.03896169430574,0,0,0,0,0,7.7685757466802,6.65512493899566,0,0,0,10.6428837414756,12.6506222228989,10.5473775991773,0,4.36592297759275,0,0,0,13.0791401087763,13.5971485270941,13.1078597928443,0,0,0,6.51957744837737,0,0,0,0,0,4.28400803332675,1.19055646778661,0,0,0,0,0,0,0,0,0,1.54997619578981,0,0,0,0,0,0,0
ASV4,6.58829310303351,4.70990432968983,5.72590919412153,5.80141571263025,11.5715788106235,8.94553550011648,10.6904610200398,9.44320012955902,9.50470381842774,10.6744905193153,9.12689358092994,7.40491137238943,9.58742089048386,3.57501459454594,3.65955239889525,7.31952896154569,10.8078621493251,10.3944209430615,9.5087891087768,10.6135602258374,8.75323502444551,4.83551173044437,3.25221184693332,7.92215573242546,7.12138661336642,8.41939464089277,9.47110952803408,5.4325214864051,9.21904231676028,12.5116254310158,5.30050571167278,4.28411539067976,3.47931579992911,5.85757246062262,4.56427553335545,2.48834223727575,3.9020543886223,0,7.60673824942125,0,8.70864758490635,8.22655702028108,0,4.12347857181715,1.48430668381258,1.66448765611902,-0.390578218909284,0,0.839823721081302,-0.987072961459669,2.50789661541043,0.723800220838379,11.5696321268626,-0.582701709876315,10.6182556963688,1.65125953162699,0.983008998053103,2.11154053398762,1.01252714241935,1.97595129414302,1.70728545791319,0,0
ASV5,10.1839243215834,0,0,9.40870276002286,4.88455476169236,0,12.5982153824194,11.3181849298299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66724934621216,0,0,0,0,0,0,9.25471712797881,0,0,0,6.05158308058925,0,13.7492617709387,12.8842494130818,11.1087627968458,12.4953897267447,12.9460618197189,8.33566908794163,0,0,8.29761582454637,0,0,0,-0.314881466446457,2.50724838199443,1.41502548211168,0,0,11.3492832945937,1.48768761801508,0,0,0,0,-0.572435358301804,0.149980693918073,-0.100069464144412,0,0
ASV7,12.5280031659493,9.0961472380589,10.3777336492388,10.6081678792828,0,0,0,0,0,0,0,0,0,8.62091544515455,1.72095294355939,0,0,0,0,10.3115367260914,5.00457409664693,5.9730152541943,2.47460426826976,8.16414414569804,5.21330910280746,0,0,5.01748398712626,0,0,0,0,10.4246202791429,3.67115933639174,7.37530611355645,0,0,0,8.59825534779835,7.2710475222911,11.9176371130774,7.18256241032866,6.18416123761281,0,6.25884973579527,2.87861246147187,6.54147245059763,8.09238629779827,4.16175181596866,7.77495307600502,7.76468245724273,7.23599198434614,8.96183718058778,5.57716962690207,0,0.722812792652023,8.7333353359972,2.42756802743529,6.88371367634619,4.23744353516841,4.48489303657674,0,0
ASV8,0,0,0,4.11148365230755,5.03790553859915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45218309089286,0,0,0,0,0,0,0,0,2.5396933755522,0,0,3.20549576404293,0,2.94777385591304,0,0,3.93973997983408,0,9.57021980676282,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6994495085452,1.16093390504391,0.915894802194566,2.9562623085097,0.565068165448131,0,0,0,0
ASV9,4.90671241214374,5.06538498428822,5.33289800117268,5.40593101077281,3.46501587017857,8.75434762311058,3.22898157275367,9.39875535288421,8.33679754994832,2.36198567831454,7.06398682936975,8.36466378238358,7.85482048887906,7.38591858368462,3.8908779450017,11.1552285092973,5.7452501720254,6.16485299519178,9.12072699167868,6.19151844404438,11.097945594788,8.14585185105652,7.14298277717856,0,3.33289071856013,0,1.98246598818029,0,5.9508854783139,0,5.45723121536023,4.50650781201621,0,0,10.24174350556,0,1.25819819884757,12.9479680054558,6.3795045650153,0,0,0,0,8.78093806339169,0,0,0,0,0,0,0,4.32866227899724,0,0,0,4.6694832902459,2.47777368980268,2.56291988033018,1.96361754193841,3.67923376205294,4.00426719567032,0,2.50785125655062
ASV10,4.63992587144884,4.90784370730174,5.31825122520828,5.22905324868873,4.16545558831966,8.80636100836969,0,9.66304300481467,8.47899112013537,5.02495069103697,8.25033906369239,8.27309148714308,8.18630576743739,7.44154745253832,4.52830786561699,11.3731064030695,6.77404743633284,4.75604744962445,8.28188896610121,0,10.4405592427963,8.12042063590093,6.82712068299055,0,4.39702105597984,0,0,3.4325214864051,6.5552654328623,0,4.82919999274719,4.93181364674888,0,0,5.88620362824281,0,0,9.09602007860663,0,0,3.13813185529146,0,0,10.0529705963628,0,0,0,-0.0518470606126632,0,0,0,5.18687041653902,0,-0.904629804763678,0,2.3535789829863,1.88112938403389,2.83668069275703,0,3.83010042767957,3.82592995441181,0,0
ASV12,8.13977175853204,10.248150331504,9.98894359995532,7.73229135197543,3.04997837089973,5.26169987237311,5.34445879017361,3.7330014449556,3.8787618627609,0,4.2485721375182,4.741946359667,4.52852720143029,9.54437630365249,8.34787873738424,0,0,0,1.6173429175593,0,0,8.81614640557744,8.99367883333446,8.10921257210558,6.35727487718709,0,4.86999125892188,7.87625441868441,6.48004618736671,0,8.60578256600997,4.90078675112825,0,0,0,0,0,0,0,0,3.25842608900917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
