#NAME,Substrate,Description,Part,Observation,Sp_description
peat_full_hg_T1,peat,full,hg,T1,peat_full
peat_full_mg_T2,peat,full,mg,T2,peat_full
peat_full_hg_T2,peat,full,hg,T2,peat_full
peat_full_hg_T3,peat,full,hg,T3,peat_full
peat_empty_mg1_C1,peat,empty,mg1,C1,peat_empty
peat_empty_mg2_C1,peat,empty,mg2,C1,peat_empty
peat_empty_mg_C2,peat,empty,mg,C2,peat_empty
peat_empty_hg_C2,peat,empty,hg,C2,peat_empty
peat_empty_mg_C3,peat,empty,mg,C3,peat_empty
peat_empty_mg1_C4,peat,empty,mg1,C4,peat_empty
peat_empty_mg2_C4,peat,empty,mg2,C4,peat_empty
peat_empty_hg_C4,peat,empty,hg,C4,peat_empty
peat_empty_mg_C5,peat,empty,mg,C5,peat_empty
peat_casts_casts_C1,peat,casts,casts,C1,peat_casts
peat_empty_casts_C3,peat,empty,casts,C3,peat_empty
peat_empty_mg_A1,peat,empty,mg,A1,peat_empty
peat_empty_hg_A1,peat,empty,hg,A1,peat_empty
peat_empty_mg_A3,peat,empty,mg,A3,peat_empty
peat_empty_hg_A3,peat,empty,hg,A3,peat_empty
peat_empty_mg_A5,peat,empty,mg,A5,peat_empty
peat_empty_hg_A5,peat,empty,hg,A5,peat_empty
peat_casts_casts_A1,peat,casts,casts,A1,peat_casts
peat_casts_casts_A2,peat,casts,casts,A2,peat_casts
peat_full_hg_F1,peat,full,hg,F1,peat_full
peat_full_mg1_F2,peat,full,mg1,F2,peat_full
peat_full_mg2_F2,peat,full,mg2,F2,peat_full
peat_full_hg_F2,peat,full,hg,F2,peat_full
peat_full_mg_F3,peat,full,mg,F3,peat_full
peat_full_hg_F3,peat,full,hg,F3,peat_full
peat_full_hg_F4,peat,full,hg,F4,peat_full
peat_1,peat,peat,peat,1,peat_peat
peat_2,peat,peat,peat,2,peat_peat
sludge_empty_gut_P1,sludge,empty,gut,P1,sludge_empty
sludge_empty_mg1_P1,sludge,empty,mg1,P1,sludge_empty
sludge_empty_mg2_P1,sludge,empty,mg2,P1,sludge_empty
sludge_empty_gut_P2,sludge,empty,gut,P2,sludge_empty
sludge_empty_mg_P2,sludge,empty,mg,P2,sludge_empty
sludge_empty_mg1_P3,sludge,empty,mg1,P3,sludge_empty
sludge_empty_gut_P3,sludge,empty,gut,P3,sludge_empty
sludge_empty_mg2_P3,sludge,empty,mg2,P3,sludge_empty
sludge_empty_gut_P4,sludge,empty,gut,P4,sludge_empty
sludge_empty_gut_P5,sludge,empty,gut,P5,sludge_empty
sludge_empty_mg1_P5,sludge,empty,mg1,P5,sludge_empty
sludge_empty_mg2_P5,sludge,empty,mg2,P5,sludge_empty
sludge_full_gut_S1,sludge,full,gut,S1,sludge_full
sludge_full_mg1_S1,sludge,full,mg1,S1,sludge_full
sludge_full_gut_S2,sludge,full,gut,S2,sludge_full
sludge_full_mg_S2,sludge,full,mg,S2,sludge_full
sludge_full_gut_S3,sludge,full,gut,S3,sludge_full
sludge_full_mg_S3,sludge,full,mg,S3,sludge_full
sludge_full_gut_S4,sludge,full,gut,S4,sludge_full
sludge_full_mg_S4,sludge,full,mg,S4,sludge_full
sludge_full_gut_S5,sludge,full,gut,S5,sludge_full
sludge_full_mg_S5,sludge,full,mg,S5,sludge_full
sludge_full_mg2_S1,sludge,full,mg2,S1,sludge_full
sludge_casts_casts_1,sludge,casts,casts,1,sludge_casts
sludge_casts_casts_2,sludge,casts,casts,2,sludge_casts
sludge_casts_casts_3,sludge,casts,casts,3,sludge_casts
sludge_casts_casts_4,sludge,casts,casts,4,sludge_casts
sludge_casts_casts_5,sludge,casts,casts,5,sludge_casts
sludge_casts_casts_6,sludge,casts,casts,6,sludge_casts
sludge_1,sludge,sludge,sludge,1,sludge_sludge
sludge_2,sludge,sludge,sludge,2,sludge_sludge
