#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus
ASV1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,
ASV2,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia
ASV3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter
ASV4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
ASV5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter
ASV6,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,
ASV7,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Candidatus Lumbricincola
ASV8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter
ASV9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
ASV10,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
ASV11,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,
ASV12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV14,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
ASV15,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter
ASV16,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter
ASV17,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella
ASV18,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV19,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
ASV20,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV21,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV22,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,,
ASV23,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella
ASV24,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
ASV25,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV26,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
ASV27,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
ASV28,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
ASV29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
ASV31,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter
ASV32,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter
ASV33,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma
ASV34,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV35,Bacteria,Patescibacteria,Parcubacteria,Candidatus Adlerbacteria,,
ASV36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV37,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
